"UF";"COD_MUN";"NOME_MUN";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"RO";110040;"Alto Paraíso";94;71;132;"SIM";132;"ALCANÇOU"
"RO";110045;"Buritis";204;198;103;"SIM";103;"ALCANÇOU"
"RO";110050;"Novo Horizonte do Oeste";54;42;129;"SIM";129;"ALCANÇOU"
"RO";110060;"Cacaulândia";29;24;121;"SIM";121;"ALCANÇOU"
"RO";110070;"Campo Novo de Rondônia";40;49;82;"NÃO";82;"NÃO ALCANÇOU"
"RO";110080;"Candeias do Jamari";148;124;119;"SIM";119;"ALCANÇOU"
"RO";110090;"Castanheiras";23;14;164;"SIM";164;"ALCANÇOU"
"RO";110092;"Chupinguaia";30;48;63;"NÃO";63;"NÃO ALCANÇOU"
"RO";110094;"Cujubim";89;77;116;"SIM";116;"ALCANÇOU"
"RO";110100;"Governador Jorge Teixeira";56;49;114;"SIM";114;"ALCANÇOU"
"RO";110110;"Itapuã do Oeste";31;42;74;"NÃO";74;"NÃO ALCANÇOU"
