"UF";"COD_MUN";"NOME_MUN";"RES_2024";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"RO";110001;"Alta Floresta D'Oeste";40;1;3;33,3333333333333;"Sim";-6,7;"ALCANÇOU"
"RO";110002;"Ariquemes";34,1463414634146;7;28;25;"Sim";-9,1;"ALCANÇOU"
"RO";110003;"Cabixi";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110004;"Cacoal";12,9032258064516;2;27;7,40740740740741;"Sim";-5,5;"ALCANÇOU"
"RO";110005;"Cerejeiras";40;2;3;66,6666666666667;"Não";26,7;"NÃO ALCANÇOU"
"RO";110006;"Colorado do Oeste";66,6666666666667;1;3;33,3333333333333;"Sim";-33,3;"ALCANÇOU"
"RO";110007;"Corumbiara";0;0;2;0;"Sim";0;"ALCANÇOU"
"RO";110008;"Costa Marques";0;1;4;25;"Não";25;"NÃO ALCANÇOU"
"RO";110009;"Espigão D'Oeste";0;2;7;28,5714285714286;"Não";28,6;"NÃO ALCANÇOU"
"RO";110010;"Guajará-Mirim";33,3333333333333;2;15;13,3333333333333;"Sim";-20;"ALCANÇOU"
"RO";110011;"Jaru";30;1;7;14,2857142857143;"Sim";-15,7;"ALCANÇOU"
"RO";110012;"Ji-Paraná";25;8;27;29,6296296296296;"Não";4,6;"NÃO ALCANÇOU"
"RO";110013;"Machadinho D'Oeste";0;1;3;33,3333333333333;"Não";33,3;"NÃO ALCANÇOU"
"RO";110014;"Nova Brasilândia D'Oeste";0;0;3;0;"Sim";0;"ALCANÇOU"
"RO";110015;"Ouro Preto do Oeste";0;0;3;0;"Sim";0;"ALCANÇOU"
"RO";110018;"Pimenta Bueno";12,5;0;6;0;"Sim";-12,5;"ALCANÇOU"
"RO";110020;"Porto Velho";26,4406779661017;64;264;24,2424242424242;"Sim";-2,2;"ALCANÇOU"
"RO";110025;"Presidente Médici";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110026;"Rio Crespo";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110028;"Rolim de Moura";5,55555555555556;0;5;0;"Sim";-5,6;"ALCANÇOU"
"RO";110029;"Santa Luzia D'Oeste";0;0;1;0;"Sim";0;"ALCANÇOU"
"RO";110030;"Vilhena";40,7407407407407;16;35;45,7142857142857;"Não";5;"NÃO ALCANÇOU"
"RO";110032;"São Miguel do Guaporé";0;0;2;0;"Sim";0;"ALCANÇOU"
"RO";110033;"Nova Mamoré";33,3333333333333;0;2;0;"Sim";-33,3;"ALCANÇOU"
"RO";110034;"Alvorada D'Oeste";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110037;"Alto Alegre dos Parecis";100;0;0;0;"Sim";-100;"ALCANÇOU"
"RO";110040;"Alto Paraíso";0;1;3;33,3333333333333;"Não";33,3;"NÃO ALCANÇOU"
"RO";110045;"Buritis";100;2;6;33,3333333333333;"Sim";-66,7;"ALCANÇOU"
"RO";110050;"Novo Horizonte do Oeste";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110060;"Cacaulândia";100;0;0;0;"Sim";-100;"ALCANÇOU"
"RO";110070;"Campo Novo de Rondônia";0;0;2;0;"Sim";0;"ALCANÇOU"
"RO";110080;"Candeias do Jamari";50;2;6;33,3333333333333;"Sim";-16,7;"ALCANÇOU"
"RO";110090;"Castanheiras";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110092;"Chupinguaia";33,3333333333333;0;0;0;"Sim";-33,3;"ALCANÇOU"
"RO";110094;"Cujubim";0;1;3;33,3333333333333;"Não";33,3;"NÃO ALCANÇOU"
"RO";110100;"Governador Jorge Teixeira";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110110;"Itapuã do Oeste";0;0;1;0;"Sim";0;"ALCANÇOU"
"RO";110120;"Ministro Andreazza";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110130;"Mirante da Serra";100;0;1;0;"Sim";-100;"ALCANÇOU"
"RO";110140;"Monte Negro";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110143;"Nova União";0;1;1;100;"Não";100;"NÃO ALCANÇOU"
"RO";110145;"Parecis";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110146;"Pimenteiras do Oeste";0;0;0;0;"Sim";0;"ALCANÇOU"
"RO";110147;"Primavera de Rondônia";100;0;0;0;"Sim";-100;"ALCANÇOU"
"RO";110148;"São Felipe D'Oeste";0;0;0;0;"Sim";0;"ALCANÇOU"
