"UF";"COD_MUN";"NOME_MUN";"*Ausência de Casos";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"RO";110001;"Alta Floresta D'Oeste";;100;101;99,009900990099;"Sim";99;"ALCANÇOU"
"RO";110002;"Ariquemes";;257;258;99,6124031007752;"Sim";99,6;"ALCANÇOU"
"RO";110003;"Cabixi";;27;27;100;"Sim";100;"ALCANÇOU"
"RO";110004;"Cacoal";;245;245;100;"Sim";100;"ALCANÇOU"
"RO";110005;"Cerejeiras";;33;33;100;"Sim";100;"ALCANÇOU"
"RO";110006;"Colorado do Oeste";;57;57;100;"Sim";100;"ALCANÇOU"
"RO";110007;"Corumbiara";;27;28;96,4285714285714;"Sim";96,4;"ALCANÇOU"
"RO";110008;"Costa Marques";;30;30;100;"Sim";100;"ALCANÇOU"
"RO";110009;"Espigão D'Oeste";;71;71;100;"Sim";100;"ALCANÇOU"
"RO";110010;"Guajará-Mirim";;20;21;95,2380952380952;"Sim";95,2;"ALCANÇOU"
"RO";110011;"Jaru";;246;247;99,5951417004049;"Sim";99,6;"ALCANÇOU"
"RO";110012;"Ji-Paraná";;634;655;96,793893129771;"Sim";96,8;"ALCANÇOU"
"RO";110013;"Machadinho D'Oeste";;147;152;96,7105263157895;"Sim";96,7;"ALCANÇOU"
"RO";110014;"Nova Brasilândia D'Oeste";;54;54;100;"Sim";100;"ALCANÇOU"
"RO";110015;"Ouro Preto do Oeste";;80;82;97,5609756097561;"Sim";97,6;"ALCANÇOU"
"RO";110018;"Pimenta Bueno";"X";;;;;;"NÃO ALCANÇOU"
"RO";110020;"Porto Velho";;1806;1807;99,9446596568899;"Sim";99,9;"ALCANÇOU"
"RO";110025;"Presidente Médici";;43;45;95,5555555555556;"Sim";95,6;"ALCANÇOU"
"RO";110026;"Rio Crespo";;80;80;100;"Sim";100;"ALCANÇOU"
"RO";110028;"Rolim de Moura";;506;506;100;"Sim";100;"ALCANÇOU"
"RO";110029;"Santa Luzia D'Oeste";;23;23;100;"Sim";100;"ALCANÇOU"
"RO";110030;"Vilhena";;916;921;99,457111834962;"Sim";99,5;"ALCANÇOU"
"RO";110032;"São Miguel do Guaporé";;22;22;100;"Sim";100;"ALCANÇOU"
"RO";110033;"Nova Mamoré";;169;173;97,6878612716763;"Sim";97,7;"ALCANÇOU"
"RO";110034;"Alvorada D'Oeste";;44;44;100;"Sim";100;"ALCANÇOU"
"RO";110037;"Alto Alegre dos Parecis";;23;24;95,8333333333333;"Sim";95,8;"ALCANÇOU"
"RO";110040;"Alto Paraíso";;20;20;100;"Sim";100;"ALCANÇOU"
"RO";110045;"Buritis";;108;109;99,0825688073395;"Sim";99,1;"ALCANÇOU"
"RO";110050;"Novo Horizonte do Oeste";;40;40;100;"Sim";100;"ALCANÇOU"
"RO";110060;"Cacaulândia";;26;27;96,2962962962963;"Sim";96,3;"ALCANÇOU"
"RO";110070;"Campo Novo de Rondônia";;29;29;100;"Sim";100;"ALCANÇOU"
"RO";110080;"Candeias do Jamari";;42;44;95,4545454545455;"Sim";95,5;"ALCANÇOU"
"RO";110090;"Castanheiras";;12;12;100;"Sim";100;"ALCANÇOU"
"RO";110092;"Chupinguaia";;50;52;96,1538461538462;"Sim";96,2;"ALCANÇOU"
"RO";110094;"Cujubim";;123;123;100;"Sim";100;"ALCANÇOU"
"RO";110100;"Governador Jorge Teixeira";;54;54;100;"Sim";100;"ALCANÇOU"
"RO";110110;"Itapuã do Oeste";;105;107;98,1308411214953;"Sim";98,1;"ALCANÇOU"
"RO";110120;"Ministro Andreazza";;19;19;100;"Sim";100;"ALCANÇOU"
"RO";110130;"Mirante da Serra";;58;58;100;"Sim";100;"ALCANÇOU"
"RO";110140;"Monte Negro";;92;92;100;"Sim";100;"ALCANÇOU"
"RO";110143;"Nova União";;37;37;100;"Sim";100;"ALCANÇOU"
"RO";110145;"Parecis";;57;57;100;"Sim";100;"ALCANÇOU"
"RO";110146;"Pimenteiras do Oeste";;13;13;100;"Sim";100;"ALCANÇOU"
