"UF";"COD_MUN";"NOME_MUN";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"RO";110001;"Alta Floresta D'Oeste";382;340;112;"SIM";112;"ALCANÇOU"
"RO";110002;"Ariquemes";1443;1232;117;"SIM";117;"ALCANÇOU"
"RO";110003;"Cabixi";82;41;200;"SIM";200;"ALCANÇOU"
"RO";110004;"Cacoal";1430;1320;108;"SIM";108;"ALCANÇOU"
"RO";110005;"Cerejeiras";300;231;130;"SIM";130;"ALCANÇOU"
"RO";110006;"Colorado do Oeste";200;138;145;"SIM";145;"ALCANÇOU"
"RO";110007;"Corumbiara";114;63;181;"SIM";181;"ALCANÇOU"
"RO";110008;"Costa Marques";197;107;184;"SIM";184;"ALCANÇOU"
"RO";110009;"Espigão D'Oeste";400;280;143;"SIM";143;"ALCANÇOU"
"RO";110010;"Guajará-Mirim";739;359;206;"SIM";206;"ALCANÇOU"
"RO";110011;"Jaru";865;779;111;"SIM";111;"ALCANÇOU"
"RO";110012;"Ji-Paraná";1897;1474;129;"SIM";129;"ALCANÇOU"
"RO";110013;"Machadinho D'Oeste";448;344;130;"SIM";130;"ALCANÇOU"
"RO";110014;"Nova Brasilândia D'Oeste";250;205;122;"SIM";122;"ALCANÇOU"
"RO";110015;"Ouro Preto do Oeste";492;198;248;"SIM";248;"ALCANÇOU"
"RO";110018;"Pimenta Bueno";517;530;98;"SIM";98;"ALCANÇOU"
"RO";110020;"Porto Velho";6313;5257;120;"SIM";120;"ALCANÇOU"
"RO";110025;"Presidente Médici";240;244;98;"SIM";98;"ALCANÇOU"
"RO";110026;"Rio Crespo";33;37;89;"NÃO";89;"NÃO ALCANÇOU"
"RO";110028;"Rolim de Moura";822;662;124;"SIM";124;"ALCANÇOU"
"RO";110029;"Santa Luzia D'Oeste";97;72;135;"SIM";135;"ALCANÇOU"
"RO";110030;"Vilhena";1515;1236;123;"SIM";123;"ALCANÇOU"
"RO";110032;"São Miguel do Guaporé";333;316;105;"SIM";105;"ALCANÇOU"
"RO";110033;"Nova Mamoré";372;357;104;"SIM";104;"ALCANÇOU"
"RO";110034;"Alvorada D'Oeste";170;201;85;"NÃO";85;"NÃO ALCANÇOU"
"RO";110037;"Alto Alegre dos Parecis";155;88;176;"SIM";176;"ALCANÇOU"
"RO";110040;"Alto Paraíso";165;142;116;"SIM";116;"ALCANÇOU"
"RO";110045;"Buritis";449;334;134;"SIM";134;"ALCANÇOU"
"RO";110050;"Novo Horizonte do Oeste";97;82;118;"SIM";118;"ALCANÇOU"
"RO";110060;"Cacaulândia";45;46;98;"SIM";98;"ALCANÇOU"
"RO";110070;"Campo Novo de Rondônia";123;106;116;"SIM";116;"ALCANÇOU"
"RO";110080;"Candeias do Jamari";293;104;282;"SIM";282;"ALCANÇOU"
"RO";110090;"Castanheiras";34;20;170;"SIM";170;"ALCANÇOU"
"RO";110092;"Chupinguaia";145;143;101;"SIM";101;"ALCANÇOU"
"RO";110094;"Cujubim";193;176;110;"SIM";110;"ALCANÇOU"
"RO";110100;"Governador Jorge Teixeira";97;53;183;"SIM";183;"ALCANÇOU"
"RO";110110;"Itapuã do Oeste";89;19;468;"SIM";468;"ALCANÇOU"
"RO";110120;"Ministro Andreazza";92;56;164;"SIM";164;"ALCANÇOU"
"RO";110130;"Mirante da Serra";131;75;175;"SIM";175;"ALCANÇOU"
"RO";110140;"Monte Negro";163;92;177;"SIM";177;"ALCANÇOU"
"RO";110143;"Nova União";63;54;117;"SIM";117;"ALCANÇOU"
"RO";110145;"Parecis";48;45;107;"SIM";107;"ALCANÇOU"
"RO";110146;"Pimenteiras do Oeste";36;31;116;"SIM";116;"ALCANÇOU"
"RO";110147;"Primavera de Rondônia";38;28;136;"SIM";136;"ALCANÇOU"
"RO";110148;"São Felipe D'Oeste";48;43;112;"SIM";112;"ALCANÇOU"
"RO";110149;"São Francisco do Guaporé";266;207;129;"SIM";129;"ALCANÇOU"
"RO";110150;"Seringueiras";169;121;140;"SIM";140;"ALCANÇOU"
"RO";110155;"Teixeirópolis";45;25;180;"SIM";180;"ALCANÇOU"
"RO";110160;"Theobroma";64;97;66;"NÃO";66;"NÃO ALCANÇOU"
"RO";110170;"Urupá";140;133;105;"SIM";105;"ALCANÇOU"
"RO";110175;"Vale do Anari";84;85;99;"SIM";99;"ALCANÇOU"
"RO";110180;"Vale do Paraíso";60;46;130;"SIM";130;"ALCANÇOU"
"AC";120001;"Acrelândia";227;146;155;"SIM";155;"ALCANÇOU"
"AC";120005;"Assis Brasil";255;66;386;"SIM";386;"ALCANÇOU"
"AC";120010;"Brasiléia";524;475;110;"SIM";110;"ALCANÇOU"
"AC";120013;"Bujari";248;173;143;"SIM";143;"ALCANÇOU"
"AC";120017;"Capixaba";176;113;156;"SIM";156;"ALCANÇOU"
"AC";120020;"Cruzeiro do Sul";1582;1186;133;"SIM";133;"ALCANÇOU"
"AC";120025;"Epitaciolândia";305;264;116;"SIM";116;"ALCANÇOU"
"AC";120030;"Feijó";754;430;175;"SIM";175;"ALCANÇOU"
"AC";120032;"Jordão";148;1;14800;"SIM";14800;"ALCANÇOU"
"AC";120033;"Mâncio Lima";343;49;700;"SIM";700;"ALCANÇOU"
"AC";120034;"Manoel Urbano";273;126;217;"SIM";217;"ALCANÇOU"
"AC";120035;"Marechal Thaumaturgo";440;135;326;"SIM";326;"ALCANÇOU"
"AC";120038;"Plácido de Castro";209;183;114;"SIM";114;"ALCANÇOU"
"AC";120039;"Porto Walter";241;1;24100;"SIM";24100;"ALCANÇOU"
"AC";120040;"Rio Branco";5068;4483;113;"SIM";113;"ALCANÇOU"
"AC";120042;"Rodrigues Alves";312;21;1486;"SIM";1486;"ALCANÇOU"
"AC";120043;"Santa Rosa do Purus";182;1;18200;"SIM";18200;"ALCANÇOU"
"AC";120045;"Senador Guiomard";354;232;153;"SIM";153;"ALCANÇOU"
"AC";120050;"Sena Madureira";737;400;184;"SIM";184;"ALCANÇOU"
"AC";120060;"Tarauacá";1048;729;144;"SIM";144;"ALCANÇOU"
"AC";120070;"Xapuri";299;251;119;"SIM";119;"ALCANÇOU"
"AC";120080;"Porto Acre";340;209;163;"SIM";163;"ALCANÇOU"
"AM";130002;"Alvarães";327;227;144;"SIM";144;"ALCANÇOU"
"AM";130006;"Amaturá";265;135;196;"SIM";196;"ALCANÇOU"
"AM";130008;"Anamã";176;172;102;"SIM";102;"ALCANÇOU"
"AM";130010;"Anori";229;176;130;"SIM";130;"ALCANÇOU"
"AM";130014;"Apuí";234;215;109;"SIM";109;"ALCANÇOU"
"AM";130020;"Atalaia do Norte";361;277;130;"SIM";130;"ALCANÇOU"
"AM";130030;"Autazes";852;643;133;"SIM";133;"ALCANÇOU"
"AM";130040;"Barcelos";540;427;126;"SIM";126;"ALCANÇOU"
"AM";130050;"Barreirinha";724;653;111;"SIM";111;"ALCANÇOU"
"AM";130060;"Benjamin Constant";985;702;140;"SIM";140;"ALCANÇOU"
"AM";130063;"Beruri";530;371;143;"SIM";143;"ALCANÇOU"
"AM";130068;"Boa Vista do Ramos";296;179;165;"SIM";165;"ALCANÇOU"
"AM";130070;"Boca do Acre";691;579;119;"SIM";119;"ALCANÇOU"
"AM";130080;"Borba";629;685;92;"SIM";92;"ALCANÇOU"
"AM";130083;"Caapiranga";165;107;154;"SIM";154;"ALCANÇOU"
"AM";130090;"Canutama";156;133;117;"SIM";117;"ALCANÇOU"
"AM";130100;"Carauari";524;449;117;"SIM";117;"ALCANÇOU"
"AM";130110;"Careiro";532;465;114;"SIM";114;"ALCANÇOU"
"AM";130115;"Careiro da Várzea";187;184;102;"SIM";102;"ALCANÇOU"
"AM";130120;"Coari";1443;1316;110;"SIM";110;"ALCANÇOU"
"AM";130130;"Codajás";390;397;98;"SIM";98;"ALCANÇOU"
"AM";130140;"Eirunepé";683;654;104;"SIM";104;"ALCANÇOU"
"AM";130150;"Envira";344;271;127;"SIM";127;"ALCANÇOU"
"AM";130160;"Fonte Boa";125;463;27;"NÃO";27;"NÃO ALCANÇOU"
"AM";130165;"Guajará";261;193;135;"SIM";135;"ALCANÇOU"
"AM";130170;"Humaitá";956;890;107;"SIM";107;"ALCANÇOU"
"AM";130180;"Ipixuna";411;259;159;"SIM";159;"ALCANÇOU"
"AM";130185;"Iranduba";944;676;140;"SIM";140;"ALCANÇOU"
"AM";130190;"Itacoatiara";1559;1611;97;"SIM";97;"ALCANÇOU"
"AM";130195;"Itamarati";268;231;116;"SIM";116;"ALCANÇOU"
"AM";130200;"Itapiranga";181;121;150;"SIM";150;"ALCANÇOU"
"AM";130210;"Japurá";176;139;127;"SIM";127;"ALCANÇOU"
"AM";130220;"Juruá";141;140;101;"SIM";101;"ALCANÇOU"
"AM";130230;"Jutaí";695;495;140;"SIM";140;"ALCANÇOU"
"AM";130240;"Lábrea";903;817;111;"SIM";111;"ALCANÇOU"
"AM";130250;"Manacapuru";1728;1861;93;"SIM";93;"ALCANÇOU"
"AM";130255;"Manaquiri";195;251;78;"NÃO";78;"NÃO ALCANÇOU"
"AM";130260;"Manaus";32616;27377;119;"SIM";119;"ALCANÇOU"
"AM";130270;"Manicoré";886;824;108;"SIM";108;"ALCANÇOU"
"AM";130280;"Maraã";367;333;110;"SIM";110;"ALCANÇOU"
"AM";130290;"Maués";1276;1111;115;"SIM";115;"ALCANÇOU"
"AM";130300;"Nhamundá";289;282;102;"SIM";102;"ALCANÇOU"
"AM";130310;"Nova Olinda do Norte";482;470;103;"SIM";103;"ALCANÇOU"
"AM";130320;"Novo Airão";261;266;98;"SIM";98;"ALCANÇOU"
"AM";130330;"Novo Aripuanã";364;265;137;"SIM";137;"ALCANÇOU"
"AM";130340;"Parintins";1909;1614;118;"SIM";118;"ALCANÇOU"
"AM";130350;"Pauini";308;289;107;"SIM";107;"ALCANÇOU"
"AM";130353;"Presidente Figueiredo";543;445;122;"SIM";122;"ALCANÇOU"
"AM";130356;"Rio Preto da Eva";306;315;97;"SIM";97;"ALCANÇOU"
"AM";130360;"Santa Isabel do Rio Negro";322;328;98;"SIM";98;"ALCANÇOU"
"AM";130370;"Santo Antônio do Içá";812;742;109;"SIM";109;"ALCANÇOU"
"AM";130380;"São Gabriel da Cachoeira";1082;1273;85;"NÃO";85;"NÃO ALCANÇOU"
"AM";130390;"São Paulo de Olivença";1009;674;150;"SIM";150;"ALCANÇOU"
"AM";130395;"São Sebastião do Uatumã";100;176;57;"NÃO";57;"NÃO ALCANÇOU"
"AM";130400;"Silves";196;146;134;"SIM";134;"ALCANÇOU"
"AM";130406;"Tabatinga";1596;1167;137;"SIM";137;"ALCANÇOU"
"AM";130410;"Tapauá";401;386;104;"SIM";104;"ALCANÇOU"
"AM";130420;"Tefé";1713;1686;102;"SIM";102;"ALCANÇOU"
"AM";130423;"Tonantins";440;348;126;"SIM";126;"ALCANÇOU"
"AM";130426;"Uarini";305;231;132;"SIM";132;"ALCANÇOU"
"AM";130430;"Urucará";242;190;127;"SIM";127;"ALCANÇOU"
"AM";130440;"Urucurituba";240;271;89;"NÃO";89;"NÃO ALCANÇOU"
"RR";140002;"Amajari";464;306;152;"SIM";152;"ALCANÇOU"
"RR";140005;"Alto Alegre";787;448;176;"SIM";176;"ALCANÇOU"
"RR";140010;"Boa Vista";7051;7687;92;"SIM";92;"ALCANÇOU"
"RR";140015;"Bonfim";440;387;114;"SIM";114;"ALCANÇOU"
"RR";140017;"Cantá";399;329;121;"SIM";121;"ALCANÇOU"
"RR";140020;"Caracaraí";329;264;125;"SIM";125;"ALCANÇOU"
"RR";140023;"Caroebe";207;187;111;"SIM";111;"ALCANÇOU"
"RR";140028;"Iracema";152;101;150;"SIM";150;"ALCANÇOU"
"RR";140030;"Mucajaí";304;314;97;"SIM";97;"ALCANÇOU"
"RR";140040;"Normandia";529;433;122;"SIM";122;"ALCANÇOU"
"RR";140045;"Pacaraima";446;469;95;"SIM";95;"ALCANÇOU"
"RR";140047;"Rorainópolis";546;510;107;"SIM";107;"ALCANÇOU"
"RR";140050;"São João da Baliza";151;96;157;"SIM";157;"ALCANÇOU"
