"UF";"cod_mun";"NUM_2025.a";"DEN_2025.a";"NUM_2025";"DEN_2025";"RES_2025";"Alcançou a meta?";"RES";"METAS"
"MA";210230;71;76;5,91666666666667;6,33333333333333;0,934210526315789;"Sim";93,4;"ALCANÇOU"
"MA";210232;274;300;22,8333333333333;25;0,913333333333333;"Sim";91,3;"ALCANÇOU"
"MA";210235;25;27;2,08333333333333;2,25;0,925925925925926;"Sim";92,6;"ALCANÇOU"
"MA";210237;12;21;1;1,75;0,571428571428571;"Não";57,1;"NÃO ALCANÇOU"
"MA";210240;48;55;4;4,58333333333333;0,872727272727273;"Sim";87,3;"ALCANÇOU"
"MA";210250;19;22;1,58333333333333;1,83333333333333;0,863636363636364;"Sim";86,4;"ALCANÇOU"
"MA";210255;48;48;4;4;1;"Sim";100;"ALCANÇOU"
"MA";210260;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";210270;96;96;8;8;1;"Sim";100;"ALCANÇOU"
"MA";210275;36;44;3;3,66666666666667;0,818181818181818;"Sim";81,8;"ALCANÇOU"
"MA";210280;30;33;2,5;2,75;0,909090909090909;"Sim";90,9;"ALCANÇOU"
"MA";210290;96;96;8;8;1;"Sim";100;"ALCANÇOU"
"MA";210300;453;473;37,75;39,4166666666667;0,957716701902748;"Sim";95,8;"ALCANÇOU"
"MA";210310;12;24;1;2;0,5;"Não";50;"NÃO ALCANÇOU"
"MA";210312;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210315;65;84;5,41666666666667;7;0,773809523809524;"Não";77,4;"NÃO ALCANÇOU"
"MA";210317;83;84;6,91666666666667;7;0,988095238095238;"Sim";98,8;"ALCANÇOU"
"MA";210320;321;336;26,75;28;0,955357142857143;"Sim";95,5;"ALCANÇOU"
"MA";210325;11;12;0,916666666666667;1;0,916666666666667;"Sim";91,7;"ALCANÇOU"
"MA";210330;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210340;156;156;13;13;1;"Sim";100;"ALCANÇOU"
"MA";210350;234;242;19,5;20,1666666666667;0,966942148760331;"Sim";96,7;"ALCANÇOU"
"MA";210355;24;24;2;2;1;"Sim";100;"ALCANÇOU"
"MA";210360;205;206;17,0833333333333;17,1666666666667;0,995145631067961;"Sim";99,5;"ALCANÇOU"
"MA";210370;48;48;4;4;1;"Sim";100;"ALCANÇOU"
"MA";210375;18;18;1,5;1,5;1;"Sim";100;"ALCANÇOU"
"MA";210380;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210390;58;58;4,83333333333333;4,83333333333333;1;"Sim";100;"ALCANÇOU"
"MA";210400;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";210405;132;132;11;11;1;"Sim";100;"ALCANÇOU"
"MA";210407;15;48;1,25;4;0,3125;"Não";31,2;"NÃO ALCANÇOU"
"MA";210408;48;48;4;4;1;"Sim";100;"ALCANÇOU"
"MA";210409;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210410;36;48;3;4;0,75;"Não";75;"NÃO ALCANÇOU"
"MA";210420;50;60;4,16666666666667;5;0,833333333333333;"Sim";83,3;"ALCANÇOU"
"MA";210430;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";210440;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210450;5;12;0,416666666666667;1;0,416666666666667;"Não";41,7;"NÃO ALCANÇOU"
"MA";210455;96;96;8;8;1;"Sim";100;"ALCANÇOU"
"MA";210460;60;72;5;6;0,833333333333333;"Sim";83,3;"ALCANÇOU"
"MA";210462;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210465;19;60;1,58333333333333;5;0,316666666666667;"Não";31,7;"NÃO ALCANÇOU"
"MA";210467;139;144;11,5833333333333;12;0,965277777777778;"Sim";96,5;"ALCANÇOU"
"MA";210470;6;8;0,5;0,666666666666667;0,75;"Não";75;"NÃO ALCANÇOU"
"MA";210480;179;188;14,9166666666667;15,6666666666667;0,952127659574468;"Sim";95,2;"ALCANÇOU"
"MA";210490;74;76;6,16666666666667;6,33333333333333;0,973684210526316;"Sim";97,4;"ALCANÇOU"
"MA";210500;30;30;2,5;2,5;1;"Sim";100;"ALCANÇOU"
"MA";210510;24;24;2;2;1;"Sim";100;"ALCANÇOU"
"MA";210515;72;72;6;6;1;"Sim";100;"ALCANÇOU"
"MA";210520;54;56;4,5;4,66666666666667;0,964285714285714;"Sim";96,4;"ALCANÇOU"
"MA";210530;463;484;38,5833333333333;40,3333333333333;0,956611570247934;"Sim";95,7;"ALCANÇOU"
"MA";210535;56;76;4,66666666666667;6,33333333333333;0,736842105263158;"Não";73,7;"NÃO ALCANÇOU"
