"UF";"COD_MUN";"NOME_MUN";"*Ausência de Casos";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"RO";110001;"Alta Floresta D'Oeste";;10;12;83,3;"Sim";83,3;"ALCANÇOU"
"RO";110002;"Ariquemes";;51;49;104,1;"Sim";104,1;"ALCANÇOU"
"RO";110003;"Cabixi";"X";0;0;0;"Não se aplica";0;"NÃO ALCANÇOU"
"RO";110004;"Cacoal";;42;41;102,4;"Sim";102,4;"ALCANÇOU"
"RO";110005;"Cerejeiras";;10;17;58,8;"Não";58,8;"NÃO ALCANÇOU"
"RO";110006;"Colorado do Oeste";;10;9;111,1;"Sim";111,1;"ALCANÇOU"
"RO";110007;"Corumbiara";;1;12;8,3;"Não";8,3;"NÃO ALCANÇOU"
"RO";110008;"Costa Marques";;6;6;100;"Sim";100;"ALCANÇOU"
"RO";110009;"Espigão D'Oeste";;66;70;94,3;"Sim";94,3;"ALCANÇOU"
"RO";110010;"Guajará-Mirim";;5;7;71,4;"Não";71,4;"NÃO ALCANÇOU"
"RO";110011;"Jaru";;10;10;100;"Sim";100;"ALCANÇOU"
"RO";110012;"Ji-Paraná";;34;34;100;"Sim";100;"ALCANÇOU"
"RO";110013;"Machadinho D'Oeste";;51;52;98,1;"Sim";98,1;"ALCANÇOU"
"RO";110014;"Nova Brasilândia D'Oeste";;14;14;100;"Sim";100;"ALCANÇOU"
"RO";110015;"Ouro Preto do Oeste";;18;20;90;"Sim";90;"ALCANÇOU"
"RO";110018;"Pimenta Bueno";;19;19;100;"Sim";100;"ALCANÇOU"
"RO";110020;"Porto Velho";;49;62;79;"Não";79;"NÃO ALCANÇOU"
"RO";110025;"Presidente Médici";;2;2;100;"Sim";100;"ALCANÇOU"
"RO";110026;"Rio Crespo";;2;2;100;"Sim";100;"ALCANÇOU"
"RO";110028;"Rolim de Moura";;40;40;100;"Sim";100;"ALCANÇOU"
"RO";110029;"Santa Luzia D'Oeste";;16;16;100;"Sim";100;"ALCANÇOU"
"RO";110030;"Vilhena";;65;81;80,2;"Não";80,2;"NÃO ALCANÇOU"
"RO";110032;"São Miguel do Guaporé";;15;22;68,2;"Não";68,2;"NÃO ALCANÇOU"
"RO";110033;"Nova Mamoré";;15;19;78,9;"Não";78,9;"NÃO ALCANÇOU"
"RO";110034;"Alvorada D'Oeste";;6;6;100;"Sim";100;"ALCANÇOU"
"RO";110037;"Alto Alegre dos Parecis";;23;25;92;"Sim";92;"ALCANÇOU"
"RO";110040;"Alto Paraíso";;6;6;100;"Sim";100;"ALCANÇOU"
