"UF";"COD_MUN";"NOME_MUN";"*Ausência de Casos";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"PA";150543;"Ourilândia do Norte";;25;33;75,7575757575758;"SIM";75,8;"ALCANÇOU"
"PA";150548;"Pacajá";;9;7;128,571428571429;"SIM";128,6;"ALCANÇOU"
"PA";150549;"Palestina do Pará";;5;9;55,5555555555556;"NÃO";55,6;"NÃO ALCANÇOU"
"PA";150550;"Paragominas";;9;97;9,27835051546392;"NÃO";9,3;"NÃO ALCANÇOU"
"PA";150553;"Parauapebas";;75;131;57,2519083969466;"NÃO";57,3;"NÃO ALCANÇOU"
"PA";150555;"Pau D'Arco";;0;12;0;"NÃO";0;"NÃO ALCANÇOU"
"PA";150560;"Peixe-Boi";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"PA";150563;"Piçarra";;2;2;100;"SIM";100;"ALCANÇOU"
"PA";150565;"Placas";;13;13;100;"SIM";100;"ALCANÇOU"
"PA";150570;"Ponta de Pedras";;15;20;75;"SIM";75;"ALCANÇOU"
"PA";150580;"Portel";;45;49;91,8367346938776;"SIM";91,8;"ALCANÇOU"
"PA";150590;"Porto de Moz";;6;11;54,5454545454545;"NÃO";54,5;"NÃO ALCANÇOU"
"PA";150600;"Prainha";;0;9;0;"NÃO";0;"NÃO ALCANÇOU"
"PA";150610;"Primavera";;16;16;100;"SIM";100;"ALCANÇOU"
"PA";150611;"Quatipuru";;6;12;50;"NÃO";50;"NÃO ALCANÇOU"
"PA";150613;"Redenção";;19;31;61,2903225806452;"NÃO";61,3;"NÃO ALCANÇOU"
"PA";150616;"Rio Maria";;2;2;100;"SIM";100;"ALCANÇOU"
"PA";150618;"Rondon do Pará";;10;11;90,9090909090909;"SIM";90,9;"ALCANÇOU"
"PA";150619;"Rurópolis";;9;12;75;"SIM";75;"ALCANÇOU"
"PA";150620;"Salinópolis";;75;89;84,2696629213483;"SIM";84,3;"ALCANÇOU"
"PA";150630;"Salvaterra";;9;15;60;"NÃO";60;"NÃO ALCANÇOU"
"PA";150635;"Santa Bárbara do Pará";;29;31;93,5483870967742;"SIM";93,5;"ALCANÇOU"
"PA";150640;"Santa Cruz do Arari";;2;2;100;"SIM";100;"ALCANÇOU"
"PA";150650;"Santa Izabel do Pará";;54;63;85,7142857142857;"SIM";85,7;"ALCANÇOU"
"PA";150655;"Santa Luzia do Pará";;7;7;100;"SIM";100;"ALCANÇOU"
"PA";150658;"Santa Maria das Barreiras";;0;1;0;"NÃO";0;"NÃO ALCANÇOU"
"PA";150660;"Santa Maria do Pará";;4;7;57,1428571428571;"NÃO";57,1;"NÃO ALCANÇOU"
"PA";150670;"Santana do Araguaia";;1;5;20;"NÃO";20;"NÃO ALCANÇOU"
"PA";150680;"Santarém";;325;465;69,8924731182796;"SIM";69,9;"ALCANÇOU"
"PA";150690;"Santarém Novo";;0;7;0;"NÃO";0;"NÃO ALCANÇOU"
"PA";150700;"Santo Antônio do Tauá";;29;34;85,2941176470588;"SIM";85,3;"ALCANÇOU"
"PA";150710;"São Caetano de Odivelas";;16;20;80;"SIM";80;"ALCANÇOU"
"PA";150715;"São Domingos do Araguaia";;0;3;0;"NÃO";0;"NÃO ALCANÇOU"
"PA";150720;"São Domingos do Capim";;21;21;100;"SIM";100;"ALCANÇOU"
"PA";150730;"São Félix do Xingu";;19;55;34,5454545454545;"NÃO";34,5;"NÃO ALCANÇOU"
