"Região";"UF";"COD_MUN";"Município";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"Norte";"AC";120034;"Manoel Urbano";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AC";120035;"Marechal Thaumaturgo";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AC";120038;"Plácido de Castro";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AC";120039;"Porto Walter";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AC";120040;"Rio Branco";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"AC";120042;"Rodrigues Alves";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AC";120043;"Santa Rosa do Purus";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AC";120045;"Senador Guiomard";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AC";120050;"Sena Madureira";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AC";120060;"Tarauacá";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AC";120070;"Xapuri";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AC";120080;"Porto Acre";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130002;"Alvarães";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"AM";130006;"Amaturá";4;4;1;100;"ALCANÇOU"
"Norte";"AM";130008;"Anamã";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"AM";130010;"Anori";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130014;"Apuí";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"AM";130020;"Atalaia do Norte";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130030;"Autazes";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130040;"Barcelos";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130050;"Barreirinha";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130060;"Benjamin Constant";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130063;"Beruri";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130068;"Boa Vista do Ramos";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"AM";130070;"Boca do Acre";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130080;"Borba";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130083;"Caapiranga";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130090;"Canutama";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130100;"Carauari";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130110;"Careiro";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130115;"Careiro da Várzea";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130120;"Coari";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130130;"Codajás";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"AM";130140;"Eirunepé";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130150;"Envira";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130160;"Fonte Boa";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130165;"Guajará";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130170;"Humaitá";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130180;"Ipixuna";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130185;"Iranduba";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130190;"Itacoatiara";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130195;"Itamarati";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130200;"Itapiranga";4;4;1;100;"ALCANÇOU"
"Norte";"AM";130210;"Japurá";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130220;"Juruá";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130230;"Jutaí";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130240;"Lábrea";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130250;"Manacapuru";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130255;"Manaquiri";4;4;1;100;"ALCANÇOU"
"Norte";"AM";130260;"Manaus";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130270;"Manicoré";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130280;"Maraã";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130290;"Maués";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130300;"Nhamundá";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130310;"Nova Olinda do Norte";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130320;"Novo Airão";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130330;"Novo Aripuanã";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130340;"Parintins";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130350;"Pauini";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130353;"Presidente Figueiredo";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130356;"Rio Preto da Eva";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130360;"Santa Isabel do Rio Negro";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130370;"Santo Antônio do Içá";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130380;"São Gabriel da Cachoeira";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130390;"São Paulo de Olivença";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"AM";130395;"São Sebastião do Uatumã";3;4;0,75;75;"NÃO ALCANÇOU"
