"UF";"COD_MUN";"NOME_MUN";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"RO";110001;"Alta Floresta D'Oeste";96;132;0,727272727272727;"NÃO";72,7;"NÃO ALCANÇOU"
"RO";110002;"Ariquemes";257;252;1,01984126984127;"SIM";102;"ALCANÇOU"
"RO";110003;"Cabixi";77;108;0,712962962962963;"NÃO";71,3;"NÃO ALCANÇOU"
"RO";110004;"Cacoal";210;240;0,875;"SIM";87,5;"ALCANÇOU"
"RO";110005;"Cerejeiras";84;120;0,7;"NÃO";70;"NÃO ALCANÇOU"
"RO";110006;"Colorado do Oeste";18;120;0,15;"NÃO";15;"NÃO ALCANÇOU"
"RO";110007;"Corumbiara";90;108;0,833333333333333;"SIM";83,3;"ALCANÇOU"
"RO";110008;"Costa Marques";80;120;0,666666666666667;"NÃO";66,7;"NÃO ALCANÇOU"
"RO";110009;"Espigão D'Oeste";163;144;1,13194444444444;"SIM";113,2;"ALCANÇOU"
"RO";110010;"Guajará-Mirim";127;168;0,755952380952381;"SIM";75,6;"ALCANÇOU"
"RO";110011;"Jaru";217;192;1,13020833333333;"SIM";113;"ALCANÇOU"
"RO";110012;"Ji-Paraná";587;288;2,03819444444444;"SIM";203,8;"ALCANÇOU"
"RO";110013;"Machadinho D'Oeste";153;156;0,980769230769231;"SIM";98,1;"ALCANÇOU"
"RO";110014;"Nova Brasilândia D'Oeste";178;120;1,48333333333333;"SIM";148,3;"ALCANÇOU"
"RO";110015;"Ouro Preto do Oeste";147;156;0,942307692307692;"SIM";94,2;"ALCANÇOU"
"RO";110018;"Pimenta Bueno";167;156;1,07051282051282;"SIM";107,1;"ALCANÇOU"
"RO";110020;"Porto Velho";664;540;1,22962962962963;"SIM";123;"ALCANÇOU"
"RO";110025;"Presidente Médici";144;132;1,09090909090909;"SIM";109,1;"ALCANÇOU"
"RO";110026;"Rio Crespo";72;72;1;"SIM";100;"ALCANÇOU"
"RO";110028;"Rolim de Moura";122;192;0,635416666666667;"NÃO";63,5;"NÃO ALCANÇOU"
"RO";110029;"Santa Luzia D'Oeste";87;108;0,805555555555556;"SIM";80,6;"ALCANÇOU"
"RO";110030;"Vilhena";297;252;1,17857142857143;"SIM";117,9;"ALCANÇOU"
"RO";110032;"São Miguel do Guaporé";105;132;0,795454545454545;"SIM";79,5;"ALCANÇOU"
